楷書編號	釋義	部首	字體編號
179	《說文》：“冊，符命也，諸矦進受于王也。象其札一長一短，中有二編之形。笧，古文𠕋从竹。”	說文‧冊部	&27.518A;
1998	《說文》：“商，从外知內也。从㕯，章省聲。𠿧，古文商。𠹧，亦古文商。𡅟，籀文商。”	說文‧㕯部	&27.5546;
1998	《說文》：“商，从外知內也。从㕯，章省聲。𠿧，古文商。𠹧，亦古文商。𡅟，籀文商。”	說文‧㕯部	&27.5546;
1998	《說文》：“商，从外知內也。从㕯，章省聲。𠿧，古文商。𠹧，亦古文商。𡅟，籀文商。”	說文‧㕯部	&27.5546;
1998	《說文》：“商，从外知內也。从㕯，章省聲。𠿧，古文商。𠹧，亦古文商。𡅟，籀文商。”	說文‧㕯部	&27.5546;
7559	《說文》：“笱，曲竹捕魚笱也。从竹，从句，句亦聲。”	說文‧句部	&27.7B31;
20121	《說文》：“卙，卙卙，盛也。从十，从甚。汝南名蠶盛曰卙。”	說文‧十部	&27.E1E5;
20122	《說文》：“𠦫，詞之𠦫矣。从十，咠聲。”	說文‧十部	&27.E1E6;
2384	《說文》：“許，聽也。从言，午聲。”	說文‧言部	&27.8A31;
51600	《說文》：“詩，志也。从言，寺聲。𧥳，古文詩省。”	說文‧言部	&27.8A69;
2380	《說文》：“訪，汎謀曰訪。从言，方聲。”	說文‧言部	&27.8A2A;
51593	《說文》：“信，誠也。从人，从言，會意。㐰，古文从言省。訃，古文信。”	說文‧言部	&27.4FE1;
51592	《說文》：“訦，燕、代、東齊謂信訦。从言，冘聲。”	說文‧言部	&27.E1F1;
51585	《說文》：“䚻，徒歌。从言，肉。”	說文‧言部	&27.F0DD;
2388	《說文》：“訢，喜也。从言，斤聲。”	說文‧言部	&27.8A22;
2385	《說文》：“設，施陳也。从言，从殳。殳，使人也。”	說文‧言部	&27.8A2D;
1908	《說文》：“訖，止也。从言，乞聲。”	說文‧言部	&27.8A16;
2381	《說文》：“訝，相迎也。从言，牙聲。《周禮》曰：‘諸侯有卿訝發。’訝，或从辵。”	說文‧言部	&27.8A1D;
2383	《說文》：“訥，言難也。从言，从內。”	說文‧言部	&27.8A25;
7187	《說文》：“諎，大聲也。从言，昔聲。讀若笮。唶，諎或从口。”	說文‧言部	&27.E1FB;
51548	《說文》：“䛁，䛁䛁多語也。从言，冄聲。樂浪有䛁邯縣。”	說文‧言部	&27.E205;
6580	《說文》：“訇，騃言聲。从言，勻省聲。漢中西城有訇鄉。又讀若玄。𧥻，籀文不省。”	說文‧言部	&27.8A07;
6580	《說文》：“訇，騃言聲。从言，勻省聲。漢中西城有訇鄉。又讀若玄。𧥻，籀文不省。”	說文‧言部	&27.8A07;
7705	《說文》：“訬，訬擾也。一曰訬獪。从言，少聲。讀若毚。”	說文‧言部	&27.8A2C;
51573	《說文》：“詾，說也。从言，匈聲。訩，或省。𧧗，詾或从兇。”	說文‧言部	&27.E21D;
2386	《說文》：“訟，爭也。从言，公聲。曰謌訟。䛦，古文訟。”	說文‧言部	&27.8A1F;
7704	《說文》：“訧，罪也。从言，尤聲。《周書》曰：‘報以庶訧。’”	說文‧言部	&27.8A27;
2382	《說文新附》：“訣，訣別也。一曰法也。从言，決省聲。”	說文‧言部	&27.8A23;
2443	《說文》：“章，樂竟為一章。从音，从十。十，數之終也。”	說文‧音部	&27.7AE0;
2444	《說文》：“竟，樂曲盡為竟。从音，从人。”	說文‧音部	&27.7ADF;
6276	《說文》：“弇，蓋也。从廾，从合。𢍔，古文弇。”	說文‧廾部	&27.5F07;
6276	《說文》：“弇，蓋也。从廾，从合。𢍔，古文弇。”	說文‧廾部	&27.5F07;
2268	《說文》：“異，分也。从廾、从畀。畀，予也。”	說文‧異部	&27.7570;
7770	《說文》：“靪，補履下也。从革，丁聲。”	說文‧革部	&27.976A;
1986	《說文》：“勒，馬頭絡銜也。从革，力聲。”	說文‧革部	&27.52D2;
56020	《說文》：“𩱡，鬻也。餰，或从衍聲。”	說文‧䰜部	&27.E272;
7569	《說文》：“𩱷，涼州謂鬻為𩱷，从䰜𥽘聲。粖，𩱷或省从末。”	說文‧䰜部	&27.F06E;
1335	《說文》：“爲，母猴也，其爲禽好爪，爪，母猴象也；下腹為母猴形。王育曰：‘爪，象形也。’𦥮，古文爲，象兩母猴相對形。”	說文‧爪部	&27.70BA;
1335	《說文》：“爲，母猴也，其爲禽好爪，爪，母猴象也；下腹為母猴形。王育曰：‘爪，象形也。’𦥮，古文爲，象兩母猴相對形。”	說文‧爪部	&27.70BA;
7207	《說文》：“埶，種也。从坴、𠃨，持亟種之。”	說文‧丮部	&27.57F6;
2047	《說文》：“𦏧，食飪也。从𠃨，𦎫聲。《易》曰：‘孰飪。’”	說文‧丮部	&27.5B70;
33552	《說文》：“㧬，𢹬也。从手，巩聲。”	說文‧手部	&27.E281;
7708	《說文》：“谻，相踦之也。从𠃨，𧮫聲。”	說文‧丮部	&27.8C3B;
20890	《說文》：“叜，老也。从又，从灾。闕。𡨎，籀文仌寸。𠋢，𡨎或从人。”	說文‧又部	&27.53DF;
1997	《說文》：“曼，引也。从又，冒聲。”	說文‧又部	&27.66FC;
22577	《說文》：“𠭙，引也。”	說文‧又部	&27.E28B;
2085	《說文》：“彗，掃竹也。从又持甡。篲，彗或从竹。𥱵，古文彗，从竹从習。”	說文‧又部	&27.5F57;
2166	《說文》：“晝，日之出入，與夜為界。从畫省，从日。𦘘，籀文晝。”	說文‧畫部	&27.665D;
2166	《說文》：“晝，日之出入，與夜為界。从畫省，从日。𦘘，籀文晝。”	說文‧畫部	&27.665D;
2024	《說文》：“堅，剛也。从臤，从土。”	說文‧臤部	&27.5805;
35770	《說文》：“𣪌，繇擊也。从殳，豆聲。古文祋如此。”	說文‧殳部	&27.E2A5;
35778	《說文》：“𣪐，縣物𣪐擊。从殳，𠃬聲。”	說文‧殳部	&27.F0F3;
3067	《說文》：“殿，擊聲也。从殳，𡱂聲。”	說文‧殳部	&27.6BBF;
35771	《說文》：“殹，擊中聲也。从殳，医聲。”	說文‧殳部	&27.F5E7;
2198	《說文》：“殺，戮也。从殳，杀聲。𤔮，古文殺；𢽅，古文殺；𢁛，古文殺。”	說文‧殺部	&27.6BBA;
2198	《說文》：“殺，戮也。从殳，杀聲。𤔮，古文殺；𢽅，古文殺；𢁛，古文殺。”	說文‧殺部	&27.6BBA;
2198	《說文》：“殺，戮也。从殳，杀聲。𤔮，古文殺；𢽅，古文殺；𢁛，古文殺。”	說文‧殺部	&27.6BBA;
2198	《說文》：“殺，戮也。从殳，杀聲。𤔮，古文殺；𢽅，古文殺；𢁛，古文殺。”	說文‧殺部	&27.6BBA;
2056	《說文》：“將，帥也。从寸，𤖕省聲。”	說文‧寸部	&27.5C07;
2055	《說文》：“專，六寸簿也。从寸，叀聲。一曰專，紡專。”	說文‧寸部	&27.5C08;
274	《說文》：“皮，剝取獸革者謂之皮。从又，為省聲。𥬖，古文皮。𠰎，籀文皮。”	說文‧皮部	&27.76AE;
274	《說文》：“皮，剝取獸革者謂之皮。从又，為省聲。𥬖，古文皮。𠰎，籀文皮。”	說文‧皮部	&27.76AE;
274	《說文》：“皮，剝取獸革者謂之皮。从又，為省聲。𥬖，古文皮。𠰎，籀文皮。”	說文‧皮部	&27.76AE;
31017	《說文》：“㼱，柔韋也。从北，从皮省，从敻省。讀若耎。一曰若嶲。𡰺，古文㼱；𤭀，籀文㼱从敻省。”	說文‧㼱部	&27.F39D;
2154	《說文》：“啟，教也。从攴，启聲。《論語》曰：‘不憤不啟。’”	說文‧攴部	&27.555F;
2155	《說文》：“敏，疾也。从攴，每聲。”	說文‧攴部	&27.654F;
31350	《說文》：“㪋，止也。从攴，旱聲。《周書》曰：‘㪋我于艱。’”	說文‧攴部	&27.E2BC;
31369	《說文》：“敒，理也。从攴，伸聲。”	說文‧攴部	&27.E2BD;
2157	《說文》：“敕，誡也。臿地曰敕。从攴，束聲。”	說文‧攴部	&27.6555;
2151	《說文》：“救，止也。从攴，求聲。”	說文‧攴部	&27.6551;
7355	《說文》：“敓，彊取也。《周書》：‘敓攘矯虔。’从攴，兌聲。”	說文‧攴部	&27.6553;
2398	《說文》：“赦，置也。从攴，赤聲。𢼜，赦或从亦。”	說文‧攴部	&27.8D66;
2153	《說文》：“敗，毁也。从攴、貝。敗賊皆从貝，會意。贁，籀文敗，从賏。”	說文‧攴部	&27.6557;
2153	《說文》：“敗，毁也。从攴、貝。敗賊皆从貝，會意。贁，籀文敗，从賏。”	說文‧攴部	&27.6557;
2048	《說文》：“寇，暴也。从攴，完。”	說文‧攴部	&27.5BC7;
7170	《說文》：“剫，判也。从刀，度聲。”	說文‧刀部	&27.526B;
20237	《說文》：“𠩺，坼也。从攴，从厂。厂之性坼，果孰有味亦坼，故謂之𠩺。从未聲。”	說文‧攴部	&27.F4AD;
2158	《說文》：“敔，禁也。一曰樂器，椌楬也，形如木虎。从攴，吾聲。”	說文‧攴部	&27.6554;
2156	《說文》：“敍，次弟也。从攴，余聲。”	說文‧攴部	&27.6558;
2152	《說文》：“教，上所施下所效也。从攴，从𡥉。𧧿，古文教；𤕝，亦古文教。”	說文‧教部	&27.6559;
2152	《說文》：“教，上所施下所效也。从攴，从𡥉。𧧿，古文教；𤕝，亦古文教。”	說文‧教部	&27.6559;
2152	《說文》：“教，上所施下所效也。从攴，从𡥉。𧧿，古文教；𤕝，亦古文教。”	說文‧教部	&27.6559;
2079	《說文》：“庸，用也。从用，从庚。庚，更事也。《易》曰：‘先庚三日。’”	說文‧用部	&27.5EB8;
45711	《說文》：“𤰈，具也。从用，茍省。”	說文‧用部	&27.F07E;
2245	《說文》：“爽，明也。从㸚，从大。𠁊，篆文爽。”	說文‧㸚部	&27.723D;
2245	《說文》：“爽，明也。从㸚，从大。𠁊，篆文爽。”	說文‧㸚部	&27.723D;
2281	《說文》：“眼，目也。从目，𥃩聲。”	說文‧目部	&27.773C;
7521	《說文》：“眥，目匡也。从目，此聲。”	說文‧目部	&27.7725;
38565	《說文》：“眮，吳、楚謂瞋目、顧視曰眮。从目，同聲。”	說文‧目部	&27.E2E7;
7520	《說文》：“眽，目財視也。从目，𠂢聲。”	說文‧目部	&27.773D;
7518	《說文》：“䀏，目搖也。从目，勻省聲。眴，䀏或从旬。”	說文‧目部	&27.F125;
38551	《說文》：“瞋，張目也。从目，真聲。𥅜，祕書瞋从戌。”	說文‧目部	&27.778B;
2279	《說文》：“眷，顧也。从目，聲。《詩》曰：‘乃眷西顧。’”	說文‧目部	&27.7737;
7523	《說文》：“眵，目傷眥也。从目，多聲。一曰瞢兜。”	說文‧目部	&27.7735;
7514	《說文》：“眯，艸入目中也。从目，米聲。”	說文‧目部	&27.772F;
2284	《說文》：“眺，目不正也。从目，兆聲。”	說文‧目部	&27.773A;
38623	《說文》：“䀺，眣也。从目，攸聲。𥃧，䀺或从丩。”	說文‧目部	&27.E305;
38580	《說文》：“䀩，眄也。从目，各聲。”	說文‧目部	&27.E307;
7515	《說文新附》：“眭，深目也。从目，圭聲。”	說文‧目部	&27.772D;
7513	《說文新附》：“眹，目精也。从目，灷聲。”	說文‧目部	&27.7739;
2283	《說文新附》：“眸，目童子也。从目，牟聲。”	說文‧目部	&27.7738;
1376	《說文》：“省，視也。从眉省，从屮。𡮀，古文从少，从囧。”	說文‧眉部	&27.7701;
1376	《說文》：“省，視也。从眉省，从屮。𡮀，古文从少，从囧。”	說文‧眉部	&27.7701;
2324	《說文》：“習，數飛也。从羽，从白。”	說文‧習部	&27.7FD2;
46897	《說文》：“𦐛，羽曲也。从羽，句聲。”	說文‧羽部	&27.E314;
7597	《說文》：“翏，高飛也。从羽，从㐱。”	說文‧羽部	&27.7FCF;
7591	《說文》：“翊，飛皃。从羽，立聲。”	說文‧羽部	&27.7FCA;
7596	《說文》：“翇，樂舞執全羽以祀社稷也。从羽，犮聲。”	說文‧羽部	&27.7FC7;
2323	《說文新附》：“翎，羽也。从羽，令聲。”	說文‧羽部	&27.7FCE;
2440	《說文》：“雀，依人小鳥也。从小、隹。讀與爵同。”	說文‧隹部	&27.96C0;
30284	《說文》：“猚，鳥也。从隹，犬聲。雎陽有猚水。”	說文‧隹部	&27.E31A;
52842	《說文》：“𨾊，鳥肥大𨾊𨾊也。从隹，工聲。䲨，𨾊或从鳥。”	說文‧隹部	&27.E329;
7769	《說文》：“隿，繳射飛鳥也。从隹，弋聲。”	說文‧隹部	&27.96BF;
23636	《說文》：“奞，鳥張毛羽自奮也。从大，从隹。”	說文‧奞部	&27.F5F1;
7588	《說文》：“羜，五月生羔也。从羊，宁聲。讀若煮。”	說文‧羊部	&27.7F9C;
7589	《說文》：“羝，牡羊也。从羊，氐聲。”	說文‧羊部	&27.7F9D;
1047	《說文》：“羌，西戎牧羊人也。从人，从羊，羊亦聲。南方蠻閩从虫，北方狄从犬，東方貉从豸，西方羌从羊，此六種也。西南𤏡人、僬僥从人，蓋在坤地，頗有順理之性。唯東夷从大，大，人也。夷俗仁，仁者壽，有君子不死之國。孔子曰：‘道不行，欲之九夷，乘桴浮於海，有以也。’𡸓，古文羌如此。”	說文‧羊部	&27.7F8C;
1047	《說文》：“羌，西戎牧羊人也。从人，从羊，羊亦聲。南方蠻閩从虫，北方狄从犬，東方貉从豸，西方羌从羊，此六種也。西南𤏡人、僬僥从人，蓋在坤地，頗有順理之性。唯東夷从大，大，人也。夷俗仁，仁者壽，有君子不死之國。孔子曰：‘道不行，欲之九夷，乘桴浮於海，有以也。’𡸓，古文羌如此。”	說文‧羊部	&27.7F8C;
2448	《說文》：“鳥，長尾禽緫名也。象形，鳥之足似匕，从匕。”	說文‧鳥部	&27.9CE5;
2241	《說文》：“焉，焉鳥，黃色，出於江淮。象形。”	說文‧烏部	&27.7109;
2267	《說文》：“畢，田罔也。从𠦒，象畢形微也。或曰甶聲。”	說文‧𠦒部	&27.7562;
2187	《說文》：“棄，捐也。从廾推𠦒棄之，从𠫓，𠫓，逆子也。弃，古文棄。”	說文‧𠦒部	&27.68C4;
2187	《說文》：“棄，捐也。从廾推𠦒棄之，从𠫓，𠫓，逆子也。弃，古文棄。”	說文‧𠦒部	&27.68C4;
2187	《說文》：“棄，捐也。从廾推𠦒棄之，从𠫓，𠫓，逆子也。弃，古文棄。”	說文‧𠦒部	&27.68C4;
7485	《說文新附》：“玈，黑色也。从玄，旅省聲。義當用黸。”	說文‧玄部	&27.7388;
2150	《說文》：“敖，出游也。从出，从放。”	說文‧放部	&27.6556;
34741	《說文》：“𤔔，治也。幺子相亂，𠬪治之也。讀若亂同。一曰理也。𤔐，古文𤔔。”	說文‧𠬪部	&27.F5B4;
34741	《說文》：“𤔔，治也。幺子相亂，𠬪治之也。讀若亂同。一曰理也。𤔐，古文𤔔。”	說文‧𠬪部	&27.F5B4;
2592	《說文》：“𠭖，進取也。从𠬪，古聲。𣪏，籀文𠭖；𢽤，古文𠭖。”	說文‧𠬪部	&27.EE59;
2592	《說文》：“𠭖，進取也。从𠬪，古聲。𣪏，籀文𠭖；𢽤，古文𠭖。”	說文‧𠬪部	&27.EE59;
2592	《說文》：“𠭖，進取也。从𠬪，古聲。𣪏，籀文𠭖；𢽤，古文𠭖。”	說文‧𠬪部	&27.EE59;
22583	《說文》：“𠭗，坑也。从𣦼，从井，井亦聲。”	說文‧𣦼部	&27.E372;
30649	《說文》：“殂，往死也。从歺，且聲。《虞書》曰：‘勛乃殂’。𡲡，古文殂从歺，从作。”	說文‧歹部	&27.6B82;
23183	《說文》：“殪，死也。从歺，壹聲。𣩉，古文殪从死。”	說文‧歹部	&27.6BAA;
2330	《說文》：“脣，口耑也。从肉，辰聲。䫃，古文从頁。”	說文‧肉部	&27.8123;
2333	《說文》：“脰，項也。从肉，豆聲。”	說文‧肉部	&27.8130;
7611	《說文》：“脬，𦜶光也。从肉，孚聲。”	說文‧肉部	&27.812C;
7610	《說文》：“脟，脅肉也。从肉，寽聲。一曰脟，腸間𦘺也。一曰膫也。”	說文‧肉部	&27.811F;
7617	《說文》：“脢，背肉也。从肉，每聲。《易》曰：‘咸其脢。’”	說文‧肉部	&27.8122;
6525	《說文》：“胠，亦下也。从肉，去聲。”	說文‧肉部	&27.80E0;
7608	《說文》：“脛，胻也。从肉，巠聲。”	說文‧肉部	&27.811B;
2331	《說文》：“脫，消肉臞也。从肉，兌聲。”	說文‧肉部	&27.812B;
7607	《說文》：“脙，齊人謂臞脙也。从肉，求聲。讀若休止。”	說文‧肉部	&27.8119;
40342	《說文》：“膌，瘦也。从肉，脊聲。㾊，古文膌从疒、从朿，朿亦聲。”	說文‧肉部	&27.818C;
35038	《說文》：“脪，創肉反出也。从肉，希聲。”	說文‧肉部	&27.E39A;
2328	《說文》：“脯，乾肉也。从肉，甫聲。”	說文‧肉部	&27.812F;
2332	《說文》：“脩，脯也。从肉，攸聲。”	說文‧肉部	&27.8129;
7605	《說文》：“脘，胃府也。从肉，完聲。讀若患。舊云脯。”	說文‧肉部	&27.8118;
20831	《說文》：“𦚙，食所遺也。从肉，仕聲。《易》曰：‘噬乾𦚙。’胏，揚雄說𦚙从𠂔。”	說文‧肉部	&27.E3AF;
35046	《說文》：“肰，犬肉也。从犬、肉。讀若然。𦝸，古文肰。𦛡，亦古文肰。”	說文‧肉部	&27.F063;
7615	《說文新附》：“脧，赤子陰也。从肉，夋聲。或从血。”	說文‧肉部	&27.8127;
35061	《說文新附》：“䏰，𦚧䏰也。从肉，忍聲。”	說文‧肉部	&27.E3B8;
43255	《說文》：“䇟，筋之本也。从筋，从夗省聲。腱，䇟或从肉、建。”	說文‧筋部	&27.E3B9;
22072	《說文》：“㓵，刀劎刃也。”	說文‧刀部	&27.E3BD;
1984	《說文》：“𣦃（剪），齊斷也。从刀，歬聲。”	說文‧刀部	&27.526A;
1548	《說文》：“剛，彊，斷也。从刀，岡聲。”	說文‧刀部	&27.525B;
7172	《說文》：“剬，斷齊也。从刀，耑聲。”	說文‧刀部	&27.526C;
1985	《說文》：“副，判也。从刀，畐聲。《周禮》曰：‘副辜祭。’疈，籀文副。”	說文‧刀部	&27.526F;
1985	《說文》：“副，判也。从刀，畐聲。《周禮》曰：‘副辜祭。’疈，籀文副。”	說文‧刀部	&27.526F;
51342	《說文》：“𧢼，角長皃。从角，爿聲。”	說文‧角部	&27.E3D8;
51336	《說文》：“䚗，舉角也。从角，公聲。”	說文‧角部	&27.E3DA;
51337	《說文》：“觶，鄉飲酒角也。《禮》曰：‘一人洗舉觶。’觶受四升。从角，單聲。𧣨，觶或从辰。觗，《禮經》觶。”	說文‧角部	&27.89F6;
7553	《說文》：“笢，竹膚也。从竹，民聲。”	說文‧竹部	&27.7B22;
2295	《說文》：“笨，竹裏也。从竹，本聲。”	說文‧竹部	&27.7B28;
7548	《說文》：“笵，法也。从竹，竹，簡書也；氾聲。古法有竹刑。”	說文‧竹部	&27.7B35;
2298	《說文》：“符，信也。漢制以竹，長六寸，分而相合。从竹，付聲。”	說文‧竹部	&27.7B26;
2301	《說文》：“笮，迫也。在瓦之下棼上。从竹，乍聲。”	說文‧竹部	&27.7B2E;
7560	《說文》：“笫，牀簣也。从竹，𠂔聲。”	說文‧竹部	&27.7B2B;
7551	《說文》：“笥，飯及衣之器也。从竹，司聲。”	說文‧竹部	&27.7B25;
7176	《說文》：“簋，黍稷方器也。从竹、从皿、从皀。㔳，古文簋，从匚、飢。匭，古文簋或从軌。朹，亦古文簋。”	說文‧竹部	&27.7C0B;
7562	《說文》：“笯，鳥籠也。从竹，奴聲。”	說文‧竹部	&27.7B2F;
2294	《說文》：“笠，簦無柄也。从竹，立聲。”	說文‧竹部	&27.7B20;
7561	《說文》：“笭，車笭也。从竹，令聲。一曰：笭，籯也。”	說文‧竹部	&27.7B2D;
7556	《說文》：“笘，折竹箠也。从竹，占聲。潁川人名小兒所書寫為笘。”	說文‧竹部	&27.7B18;
7557	《說文》：“笪，笞也。从竹，旦聲。”	說文‧竹部	&27.7B2A;
2300	《說文》：“笞，擊也。从竹，台聲。”	說文‧竹部	&27.7B1E;
2299	《說文》：“笙，十三簧，象鳳之身也。笙，正月之音。物生，故謂之笙。大者謂之巢，小者謂之和。从竹，生聲。古者，隨作笙。”	說文‧竹部	&27.7B19;
2296	《說文》：“笛，七孔筩也。从竹，由聲。羌笛三孔。”	說文‧竹部	&27.7B1B;
2263	《說文》：“甛，美也。从甘，从舌。舌，知甘者。”	說文‧甘部	&27.751C;
2172	《說文》：𣍘，獄之兩曹也。在廷東，从㯥，治事者，从曰。”	說文‧曰部	&27.66F9;
7386	《說文》：“梪，木豆謂之梪。从木、豆。”	說文‧豆部	&27.68AA;
7659	《說文》：“虙，虎皃。从虍，必聲。”	說文‧虍部	&27.8659;
41905	《說文》：“虘，虎不柔不信也。从虍，且聲。讀若䣜縣。”	說文‧虍部	&27.F131;
7660	《說文》：“虖，哮虖也。从虍，𠂞聲。”	說文‧虍部	&27.8656;
1454	《說文》：“虐，殘也。从虍，虎足反爪人也。𧆱，古文虐如此。”	說文‧虍部	&27.8650;
1454	《說文》：“虐，殘也。从虍，虎足反爪人也。𧆱，古文虐如此。”	說文‧虍部	&27.8650;
2359	《說文》：“彪，虎文也。从虎，彡象其文也。”	說文‧虎部	&27.5F6A;
41894	《說文》：“𧆦，虎皃。从虎，气聲。”	說文‧虎部	&27.E448;
2278	《說文》：“盛，黍稷在器中以祀者也。从皿，成聲。”	說文‧皿部	&27.76DB;
39302	《說文》：“䀁，小甌也。从皿，有聲。讀若賄。𥁓，䀁或从右。”	說文‧皿部	&27.E44E;
43231	《說文》：“𠙴，𠙴盧，飯器。𥬔，𠙴或从竹，去聲。”	說文‧𠙴部	&27.F48A;
35610	《說文》：“咅，相與語唾而不受也。从丶，从否，否亦聲。㰯，咅或从豆，从欠。”	說文‧丶部	&27.F547;
723	《說文》：“阱，陷也。从𨸏，从井，井亦聲。穽，阱或从穴。汬，古文阱从水。”	說文‧井部	&27.9631;
1267	《說文》：“旣，小食也。从皀，旡聲。《論語》曰：‘不使勝食旣。’”	說文‧皀部	&27.65E2;
44926	《說文》：“養，供養也。从食，羊聲。𢼝，古文養。”	說文‧食部	&27.990A;
2261	《說文》：“缾，𦉥也。从缶，并聲。瓶，缾或从瓦。”	說文‧缶部	&27.7F3E;
43059	《說文》：“䍇，下平缶也。从缶，乏聲。讀若𦐇。”	說文‧缶部	&27.E497;
43066	《說文》：“䍄，缺也。从缶，占聲。”	說文‧缶部	&27.E49B;
732	《說文》：“亯，獻也。从高省。曰：象進孰物形。《孝經》曰：‘祭則鬼亯之。’享，篆文亯。”	說文‧亯部	&27.F480;
732	《說文》：“亯，獻也。从高省。曰：象進孰物形。《孝經》曰：‘祭則鬼亯之。’享，篆文亯。”	說文‧亯部	&27.F480;
1148	《說文》：“厚，山陵之厚也。从㫗，从厂。垕，古文厚，从后、土。”	說文‧𣆪部	&27.539A;
1148	《說文》：“厚，山陵之厚也。从㫗，从厂。垕，古文厚，从后、土。”	說文‧𣆪部	&27.539A;
24306	《說文》：“啚，嗇也。从囗、㐭。㐭，受也。𠴿，古文啚如此。”	說文‧㐭部	&27.F563;
24306	《說文》：“啚，嗇也。从囗、㐭。㐭，受也。𠴿，古文啚如此。”	說文‧㐭部	&27.F563;
2451	《說文》：“麥，芒穀。秋穜厚薶，故謂之麥。麥，金也。金王而生，火王而死。从來，有穗者。从夕。”	說文‧麥部	&27.9EA5;
6219	《說文》：“𡕨，行故道也。从夊，畗省聲。”	說文‧夊部	&27.590D;
3002	《說文》：“愛，行皃。从夊，㤅聲。”	說文‧夊部	&27.611B;
2193	《說文》：“棃，果名。从木，𥝢聲。𥝢，古文利。”	說文‧木部	&27.68A8;
7375	《說文》：“梬，棗也，似柹。从木，甹聲。”	說文‧木部	&27.68AC;
2190	《說文》：“梅，枏也，可食。从木，每聲。楳，或从某。”	說文‧木部	&27.6885;
29292	《說文》：“𣓀，果實如小栗。从木，辛聲。《春秋傳》曰：‘女摯不過𣓀栗。’”	說文‧木部	&27.F038;
7371	《說文》：“梫，桂也。从木，㑴省聲。”	說文‧木部	&27.68AB;
7374	《說文》：“梣，青皮木。从木，岑聲。𣘕，或从𡩠省。𡩠，籀文𡪢。”	說文‧木部	&27.68A3;
2178	《說文》：“梓，楸也。从木，宰省聲。榟，或不省。”	說文‧木部	&27.6893;
7377	《說文》：“桵，白桵，棫。从木，妥聲。”	說文‧木部	&27.6875;
2177	《說文》：“梢，木也。从木，肖聲。”	說文‧木部	&27.68A2;
29289	《說文》：“㭩，木也。从木，寽聲。”	說文‧木部	&27.E4E2;
2188	《說文》：“梭，木也。从木，夋聲。”	說文‧木部	&27.68AD;
7395	《說文》：“梤，香木也。从木，𡵳聲。段玉裁注：“形聲包會意也。”	說文‧木部	&27.68A4;
1297	《說文》：“柳，小楊也。从木，丣聲。丣，古文酉。”	說文‧木部	&27.67F3;
2196	《說文》：“梂，櫟實。一曰鑿首。从木，求聲。”	說文‧木部	&27.6882;
2183	《說文》：“梧，梧桐木。从木，吾聲。一名櫬。”	說文‧木部	&27.68A7;
2184	《說文》：“梗，山枌榆。有朿，莢可為蕪荑者。从木，更聲。”	說文‧木部	&27.6897;
7365	《說文》：“梇，木也。从木，弄聲。益州有梇棟縣。”	說文‧木部	&27.6887;
1691	《說文》：“根，木株也。从木，艮聲。”	說文‧木部	&27.6839;
2192	《說文》：“條，小枝也。从木，攸聲。”	說文‧木部	&27.689D;
2186	《說文》：“梃，一枚也。从木，廷聲。”	說文‧木部	&27.6883;
7364	《說文》：“桹，高木也。从木，良聲。”	說文‧木部	&27.6879;
959	《說文》：“𣒈，衺曲也。从木，𡉚聲。”	說文‧木部	&27.6789;
1699	《說文》：“栽，築牆長版也。从木，𢦒聲。《春秋傳》曰：‘楚圍蔡，里而栽。’”	說文‧木部	&27.683D;
7378	《說文》：“桴，棟名。从木，孚聲。”	說文‧木部	&27.6874;
7381	《說文》：“桷，榱也，椽方曰桷。从木，角聲。《春秋傳》曰：‘刻桓宮之桷。’”	說文‧木部	&27.6877;
7393	《說文》：“梠，楣也。从木，呂聲。”	說文‧木部	&27.68A0;
7387	《說文》：“梀，短椽也。从木，束聲。”	說文‧木部	&27.6880;
2182	《說文》：“梱，門橛也。从木，困聲。”	說文‧木部	&27.68B1;
7373	《說文》：“桯，牀前几。从木，呈聲。”	說文‧木部	&27.686F;
7388	《說文》：“桱，桱桯也，東方謂之蕩。从木，巠聲。”	說文‧木部	&27.6871;
7757	《說文》：“㭉，兩刃臿也。从木、𦫳，象形。宋魏曰㭉也。釫，或从金、从于。”	說文‧木部	&27.F102;
7376	《說文》：“㭒，臿也。从木，㠯聲。一曰徙土輂，齊人語也。梩，或从里。”	說文‧木部	&27.E50C;
29280	《說文》：“𣒃，穜樓也。一曰燒麥柃𣒃。从木，役聲。”	說文‧木部	&27.E50F;
7369	《說文》：“桮，㔶也。从木，否聲。𠤯，籀文桮。”	說文‧木部	&27.686E;
6778	《說文》：“𣒁（栚），槌之橫者也，關西謂之㯢。从木，灷聲。”	說文‧木部	&27.681A;
2176	《說文》：“梯，木階也。从木，弟聲。”	說文‧木部	&27.68AF;
7379	《說文》：“梲，木杖也。从木，兌聲。”	說文‧木部	&27.68B2;
29287	《說文》：“桰，𨽌也。从木，𠯑聲。一曰矢栝，築弦處。”	說文‧木部	&27.E51E;
2181	《說文》：“桶，木方，受六升。从木，甬聲。”	說文‧木部	&27.6876;
7366	《說文》：“梐，梐枑也。从木，陛省聲。”	說文‧木部	&27.6890;
2175	《說文》：“梁，水橋也。从木，从水，刅聲。渿，古文。”	說文‧木部	&27.6881;
2175	《說文》：“梁，水橋也。从木，从水，刅聲。渿，古文。”	說文‧木部	&27.6881;
7367	《說文》：“梜，檢柙也。从木，夾聲。”	說文‧木部	&27.689C;
